club,title,location,date,source_url
Emerald Guild,Lark in the Park,"East 42nd Street and, 1st Ave. New York , NY 10016 United States",2025-09-18,https://emeraldguild.org/event/lark-in-the-park-2025/
Illyrian BMA,Monthly Meeting,"St. Pats Bar & Grill, 22 West 46th Street, New York, NY",2025-09-08,https://www.ibmanyc.com/
NYBMA,Business Meeting,"Connolly’s Pub & Restaurant, 121 West 45th St, New York, NY 10036",2025-09-11,https://nybma.org/
Manhattan Resident Managers Club,Monthly Meeting,"Connolly’s Pub & Restaurant, 121 West 45th St, New York, NY 10036",2025-09-04,https://mrmclub.com/
Manhattan Resident Managers Club,Monthly Meeting,"Connolly’s Pub & Restaurant, 121 West 45th St, New York, NY 10036",2025-10-02,https://mrmclub.com/
Manhattan Resident Managers Club,Monthly Meeting,"Connolly’s Pub & Restaurant, 121 West 45th St, New York, NY 10036",2025-11-06,https://mrmclub.com/
Manhattan Resident Managers Club,Monthly Meeting,"Connolly’s Pub & Restaurant, 121 West 45th St, New York, NY 10036",2025-12-04,https://mrmclub.com/
Manhattan Resident Managers Club,Monthly Meeting,"Connolly’s Pub & Restaurant, 121 West 45th St, New York, NY 10036",2026-01-01,https://mrmclub.com/
Manhattan Resident Managers Club,Monthly Meeting,"Connolly’s Pub & Restaurant, 121 West 45th St, New York, NY 10036",2026-02-05,https://mrmclub.com/
Manhattan Resident Managers Club,Monthly Meeting,"Connolly’s Pub & Restaurant, 121 West 45th St, New York, NY 10036",2026-03-05,https://mrmclub.com/
Manhattan Resident Managers Club,Monthly Meeting,"Connolly’s Pub & Restaurant, 121 West 45th St, New York, NY 10036",2026-04-02,https://mrmclub.com/
Manhattan Resident Managers Club,Monthly Meeting,"Connolly’s Pub & Restaurant, 121 West 45th St, New York, NY 10036",2026-05-07,https://mrmclub.com/
Manhattan Resident Managers Club,Monthly Meeting,"Connolly’s Pub & Restaurant, 121 West 45th St, New York, NY 10036",2026-06-04,https://mrmclub.com/
Manhattan Resident Managers Club,Monthly Meeting,"Connolly’s Pub & Restaurant, 121 West 45th St, New York, NY 10036",2026-07-02,https://mrmclub.com/
Manhattan Resident Managers Club,Monthly Meeting,"Connolly’s Pub & Restaurant, 121 West 45th St, New York, NY 10036",2026-08-06,https://mrmclub.com/
